time_days,Sb130 top 14
0.10864325633144191,55103097068.38873
0.10883444565268321,54840535740.24868
0.10902597142698943,54577512359.29621
0.109217834246447,54314923878.83082
0.10941003470418494,54056661848.39688
0.10960257339437539,53797945331.01233
0.10979545091223682,53538773526.87507
0.1099886678540344,53279145634.776505
0.11018222481708341,53022624181.236374
0.11037612239974946,52767696161.367096
0.11057036120145197,52512319521.705315
0.11076494182266437,52256493472.7749
0.11095986486491766,52001039902.614815
0.11115513093080058,51749844893.04145
0.1113507406239631,51498207832.98999
0.11154669454911666,51246127944.54483
0.11174299331203771,50993604448.420555
0.11193963751956795,50744438481.28682
0.1121366277796177,50496486231.21028
0.11233396470116642,50248097637.23193
0.11253164889426591,49999271931.47776
0.1127296809700408,49751514590.000336
0.11292806154069197,49507193183.43864
0.11312679121949681,49262441822.49754
0.11332587062081281,49017259750.54704
0.11352530036007774,48771646209.62667
0.11372508105381325,48530358254.84917
0.11392521331962512,48289190858.21604
0.11412569777620678,48047599057.598274
0.11432653504333966,47805582106.13441
0.11452772574189664,47566008629.579636
0.11472927049384242,47328383919.25365
0.11493116992223705,47090341039.32707
0.1151334246512362,46851879253.909744
0.11533603530609475,46614143268.95464
0.11553900251316708,46380006690.72713
0.11574232689991062,46145458081.27922
0.11594600909488618,45910496715.52294
0.11615004972776159,45675121867.09337
0.11635444942931185,45444068783.92312
0.11655920883142284,45212960716.55523
0.11676432856709164,44981445947.51068
0.11696980927043005,44749523761.07946
0.117175651576665,44520571621.64191
0.11738185612214207,44292851271.51092
0.11758842354432583,44064730181.37437
0.11779535448180355,43836207646.01348
0.11800264957428537,43609508851.21101
0.11821030946260812,43385124279.233574
0.11841833478873542,43160344837.51973
0.11862672619576152,42935169831.18121
0.11883548432791151,42710866740.51873
0.11904460983054506,42489766876.0259
0.11925410335015664,42268277922.192245
0.1194639655343793,42046399194.30171
0.11967419703198495,41824624557.78351
0.119884798492888,41606759181.60741
0.12009577056814576,41388510408.1108
0.12030711390996211,41169877562.59445
0.12051882917168784,40950859969.172676
0.12073091700782428,40736235455.16456
0.1209433780740238,40521342129.122375
0.12115621302709335,40306070635.94349
0.12136942252499491,40090420310.133575
0.12158300722684917,39877945093.30681
0.12179696779293585,39666355630.45399
0.12201130488469736,39454393814.57022
0.12222601916473999,39242058990.39217
0.12244111129683555,39031865831.54989
0.12265658194592473,38823529440.654686
0.12287243177811749,38614826421.452446
0.123088661460697,38405756128.75385
0.12330527166211969,38197968931.83392
0.1235222630520193,37992835602.511925
0.12373963630120706,37787341281.59874
0.1239573920816756,37581485333.824554
0.12417553106659922,37376219503.42145
0.12439405393033774,37174239994.13976
0.12461296134843684,36971905043.328026
0.1248322539976319,36769214025.48335
0.12505193255584834,36566576812.39521
0.12527199770220543,36367702638.65793
0.1254924501170167,36168478488.12916
0.12571329048179378,35968903744.92284
0.1259345194792467,35768994580.085495
0.1261561377932878,35573178002.80344
0.1263781461090321,35377016829.45771
0.12660054511280122,35180510453.63119
0.12682333549212355,34983658267.84038
0.12704651793573837,34790615284.831726
0.12727009313359605,34597470000.81341
0.12749406177686207,34403984821.64632
0.12771842455791727,34210159149.186737
0.12794318217036185,34019958692.031116
0.12816833530901572,33829782933.434464
0.12839388466992246,33639272505.430313
0.12861983095034957,33448426819.071163
0.1288461748487925,33261147708.185898
0.12907291706497503,33073895823.929943
0.12930005829985322,32886314415.671474
0.12952759925561577,32698402903.517784
0.1297555406356879,32514117351.287872
0.12998388314473194,32329744392.166756
0.13021262748865106,32145046975.346947
0.13044177437458987,31960024529.851364
0.13067132451093827,31778798421.821545
0.13090127860733178,31597260129.71978
0.13113163737465583,31415402368.338104
0.13136240152504577,31233550939.660538
0.13159357177189113,31055117741.901924
0.131825148829836,30876370539.17789
0.13205713341478298,30697308778.90526
0.1322895262438935,30518688229.29785
0.1325223280355921,30342998385.56714
0.13275553950956656,30166999364.59814
0.1329891613867722,29990690622.30344
0.133223194389432,29815348563.879234
0.13345763924104093,29642359900.497208
0.13369249666636626,29469066813.387157
0.13392776739145154,29295468766.8269
0.13416345214361708,29123447529.70039
0.13439955165146414,28953118521.437218
0.13463606664487512,28782489769.880653
0.13487299785501786,28611560747.545067
0.135110346014346,28442897615.46826
0.13534811185660298,28275187375.583294
0.1355862961168226,28107182000.887474
0.13582489953133312,27938880972.005123
0.1360639228377576,27773608409.76141
0.13630336677501811,27608476680.19476
0.13654323208333619,27443054353.45402
0.13678351950423662,27277794022.592228
0.13702422978054918,27115486790.957855
0.13726536365641012,26952893932.67273
0.13750692187726624,26790014945.093616
0.13774890518987506,26628248891.221825
0.1379913143423094,26468437109.878883
0.13823415008395742,26308344093.353786
0.13847741316552706,26147969346.73134
0.13872110433904636,25989716058.297394
0.13896522435786782,25832361365.38729
0.13920977397666856,25674729761.254803
0.13945475395145487,25516820758.593998
0.13970016503956248,25362094749.5969
0.13994600799966075,25207159373.158104
0.1401922835917533,25051951342.985962
0.140438992577182,24897567439.942295
0.1406861357186277,24745282178.937954
0.14093371378011432,24592728927.84675
0.14118172752700933,24439907215.06265
0.14143017772602806,24289117579.033436
0.14167906514523415,24139173703.82374
0.14192839055404377,23988965958.87458
0.1421781547232262,23838680582.88295
0.1424283584249081,23691301457.056126
0.14267900243257386,23543662974.910587
0.1429300875210701,23395764680.03337
0.1431816144666059,23249123767.4001
0.14343358404675746,23104010607.79592
0.14368599704046825,22958642079.49781
0.14393885422805353,22813017733.110203
0.14419215639120075,22670335195.25718
0.14444590431297397,22527812626.0627
0.1447000987778143,22385039247.0695
0.14495474057154434,22242014616.904728
0.14520983048136843,22102049958.15498
0.14546536929587733,21962071732.6233
0.14572135780504855,21821847174.803574
0.1459777968002508,21681410116.85055
0.14623468707424442,21544172323.496117
0.1464920294211858,21406693020.438618
0.14674982463662792,21268971782.67199
0.1470080735175248,21131391415.914375
0.1472667768622318,20996603623.18056
0.1475259354705104,20861578632.230408
0.14778555014352837,20726316025.64512
0.14804562168386443,20591624008.784176
0.14830615089550855,20459242479.622
0.14856713858386678,20326627986.76217
0.14882858555576126,20193780120.23775
0.14909049261943516,20062003243.864212
0.14935286058455285,19931985021.984776
0.14961569026220467,19801737995.332333
0.14987898246490716,19671261761.25877
0.1501427380066079,19542422197.049477
0.1504069577026857,19414725092.98824
0.1506716423699553,19286803268.83401
0.1509367928266679,19158656329.126892
0.1512024098925156,19032771869.198154
0.15146849438863202,18907354446.626728
0.15173504713759683,18781716315.72313
0.15200206896343618,18655914546.256805
0.15226956069162742,18533700987.527946
0.15253752314909952,18411272358.594845
0.1528059571642377,18288628280.97888
0.1530748635668839,18165768375.53584
0.15334424318834125,18044006800.33062
0.15361409686137575,17924495741.050564
0.15388442542021813,17804774367.39792
0.15415522970056825,17684842309.263306
0.15442651053959552,17564699195.886505
0.1546982687759437,17447000092.629078
0.15497050524973133,17330131773.852924
0.15524322080255643,17213057791.372375
0.15551641627749696,17095777783.262728
0.15579009251911563,16978751763.12563
0.15606425037346036,16864668509.8631
0.1563388906880689,16750384494.026766
0.1566140143119695,16635899362.31686
0.15688962209568563,16521212760.811455
0.15716571489123632,16408344026.040552
0.15744229355214112,16296783490.863909
0.15771935893342054,16185026632.567858
0.15799691189160078,16073073105.664696
0.15827495328471422,15961109813.42882
0.15855348397230443,15852207857.278828
0.15883250481542635,15743114256.55035
0.15911201667665137,15633828673.988926
0.1593920204200677,15524350771.747068
0.15967251691128526,15416603240.91965
0.15995350701743624,15310109431.232004
0.1602349916071798,15203428214.797829
0.1605169715507027,15096559261.820803
0.16079944771972413,14989908403.680159
0.1610824209874962,14885952430.907993
0.16136589222880898,14781813517.449444
0.16164986231999073,14677491341.367516
0.16193433213891312,14572985580.158247
0.16221930256499137,14470577122.809359
0.16250477447918962,14368919928.135218
0.1627907487640211,14267083838.141716
0.16307722630355323,14165068538.010445
0.163364207983408,14063911456.61129
0.16365169469076715,13964676840.248955
0.16393968731437245,13865267591.79646
0.1642281867445309,13765683403.937786
0.164517193873115,13665923968.816513
0.16480670959356797,13569008159.774977
0.16509673480090417,13471967920.112051
0.16538727039171414,13374756910.001043
0.165678317264165,13277374828.92202
0.1659698763180057,13181832746.789185
0.16626194845456738,13087105061.319107
0.16655453457676847,12992210675.010807
0.16684763558911522,12897149294.505997
0.16714125239770677,12803064834.124575
0.16743538591023563,12710594593.564814
0.1677300370359928,12617961624.795933
0.16802520668586832,12525165641.4506
0.1683208957723564,12432614424.205238
0.16861710520955578,12342347832.529936
0.16891383591317508,12251922390.604874
0.16921108880053315,12161337818.88714
0.16950886479056435,12070593837.341537
0.16980716480381894,11982272208.16486
0.17010598976246838,11894001686.606916
0.17040534059030576,11805575827.463724
0.17070521821275106,11716994357.373564
0.17100562355685153,11630271621.471592
0.17130655755128715,11544104667.421125
0.17160802112637089,11457786077.622566
0.17191001521405377,11371315585.228746
0.17221254074792694,11286246782.221596
0.17251559866322352,11202133266.56317
0.1728191898968236,11117871728.776922
0.1731233153872548,11033461908.375162
0.17342797607469765,10950095528.462555
0.1737331729009859,10867986516.663721
0.17403890680961193,10785733010.243017
0.17434517874572728,10703334754.920406
0.174651989656148,10621713128.634066
0.1749593404893551,10541560852.279966
0.17526723219549994,10461267524.747559
0.1755756657264047,10380832897.81654
0.17588464203556786,10300992567.078081
0.17619416207816455,10222750396.083036
0.17650422681105205,10144370535.294088
