time_days,Pa234 top 6
0.04881475448776493,1411950.0728239163
0.04890065854452789,1414322.006307919
0.04898671377498925,1416696.6354359975
0.04907292044518393,1419074.631971244
0.04915927882161505,1421456.8132975725
0.049245789171254946,1423843.18677937
0.04933245176154552,1426233.2563648294
0.04941926686039932,1428625.7298211479
0.04950623473620064,1431022.4135449943
0.04959335565780578,1433423.3149455823
0.04968062989454421,1435828.4414451644
0.049768057716219616,1438235.8849450522
0.04985563939311019,1440647.1593673055
0.04994337519596981,1443062.677142965
0.05003126539602905,1445482.4457394755
0.05011931026499555,1447905.3844874518
0.0502075100750551,1450331.3384465426
0.050295865098872725,1452761.5615920485
0.050384375609593066,1455196.0614368685
0.05047304188084139,1457634.5174816712
0.05056186418672478,1460075.2403567967
0.050650842801832435,1462520.258408629
0.050739978001236766,1464969.5791958044
0.05082927006049451,1467423.210290268
0.050918719255647074,1469879.1565753946
0.05100832586322164,1472339.0596149869
0.05109809016023229,1474803.2915844843
0.051188012424180335,1477271.86010192
0.05127809293305541,1479743.3804941482
0.05136833196533664,1482218.2591511586
0.051458729799992935,1484697.4930921167
0.051549286716484156,1487181.0899814356
0.051640002994762214,1489668.207430667
0.0517308789152714,1492158.1528862417
0.051821914758949546,1494652.4801402674
0.051913110807229136,1497151.1969038255
0.05200446734203763,1499653.9346396984
0.05209598464579868,1502159.0386297733
0.052187663001433154,1504668.551094248
0.052279502692359585,1507182.4797911395
0.05237150400249521,1509700.8324921178
0.052463667216257226,1512221.2161431601
0.05255599261856305,1514746.006274551
0.052648480494831486,1517275.2395239472
0.0527411311309839,1519808.9237103413
0.052833944813444576,1522344.9871511506
0.05292692182914179,1524885.1479683549
0.05302006246550909,1527429.778952857
0.05311336701048552,1529978.8879712413
0.05320683575251686,1532530.6553533697
0.05330046898055679,1535086.2804410865
0.053394266984067185,1537646.4029100754
0.05348823005301932,1540211.0306748103
0.05358235847789507,1542778.1460706175
0.05367665254968716,1545348.7565374773
0.05377111255990045,1547923.8907568308
0.053865738800553065,1550503.5566895683
0.053960531564176725,1553087.7623105834
0.05405549114381796,1555674.4203501055
0.05415061783303928,1558264.6543581884
0.054245911925919515,1560859.4466522168
0.05434137371705503,1563458.8052538447
0.054437003501560895,1566062.7381988517
0.05453280157507123,1568668.9539400302
0.054628768233740424,1571278.9613047927
0.05472490377424432,1573893.5617525945
0.05482120849378056,1576512.7633663274
0.054917682690069795,1579136.5742431069
0.0550143266613569,1581762.3631797659
0.05511114070641129,1584392.2948592992
0.05520812512452818,1587026.8546846162
0.05530528021552976,1589666.0508003188
0.05540260627976555,1592309.8913653342
0.05550010361811364,1594955.2694296313
0.05559777253198189,1597605.2775332844
0.05569561332330827,1600259.9491131527
0.05579362629456212,1602919.292376007
0.05589181174874534,1605582.7521323473
0.05599016998939279,1608248.299107943
0.056088701320573434,1610918.536905012
0.0561874060468917,1613593.4737784532
0.0562862844734877,1616273.1179976836
0.05638533690603856,1618956.188430179
0.056484563650759635,1621642.083728282
0.05658396501440486,1624332.7056567774
0.05668354130426797,1627028.0625335719
0.05678329282818381,1629728.1626912185
0.056883219894528624,1632430.860974295
0.05698332281222134,1635137.2599370612
0.05708360189072484,1637848.4216125086
0.05718405744004629,1640564.354382043
0.05728468977073837,1643285.066641817
0.05738549919390063,1646007.4103973974
0.05748648602117974,1648734.4695513125
0.05758765056477084,1651466.3277756453
0.05768899313741875,1654202.9935157911
0.05779051405241836,1656943.4326779456
0.05789221362361591,1659686.4825319343
0.057994092165410224,1662434.3595967323
0.058096149992753136,1665187.0723672481
0.058198387421150674,1667944.629353338
0.05830080476666446,1670704.7386115922
0.058403402345911966,1673468.728448335
0.05850618047606789,1676237.5823459993
0.05860913947486537,1679011.3088643502
0.058712279660596375,1681789.517732909
0.058815601352113035,1684569.7148219976
0.058919104868828884,1687354.8044934873
0.059022790530719245,1690144.7953573256
0.05912665865832255,1692939.6960386145
0.0592307095727416,1695737.6011080132
0.05933494359564398,1698539.0217529926
0.059439361049263346,1701345.3723295163
0.05954396225640072,1704156.661513268
0.05964874754042488,1706972.6716056557
0.05975371722527367,1709790.5189799196
0.059858871635455314,1712613.325193442
0.05996421109604878,1715441.0989727695
0.06006973593270513,1718273.8490598076
0.060175446471648776,1721109.3404489022
0.06028134303967786,1723948.2903439403
0.060387425964166005,1726792.2362143889
0.06049369557306263,1729641.1868521469
0.06060015219489429,1732495.1510645861
0.06070679615876599,1735351.7801123082
0.06081362779436157,1738211.9905795127
0.06092064743194508,1741077.234436412
0.061027855402362025,1743947.5205407552
0.061135252037039865,1746822.8577658718
0.06124283766798929,1749700.6169570065
0.06135061262780558,1752582.247230154
0.06145857724966898,1755468.9485875082
0.06156673186734608,1758360.7299531451
0.06167507681519116,1761257.6002668536
0.06178361242814657,1764156.4824714747
0.061892339041744064,1767059.6929755567
0.06200125699210623,1769968.0125406736
0.062110366615946794,1772881.4501577327
0.06221966825057207,1775800.0148334634
0.06232916223388226,1778720.0133084818
0.06243884890437191,1781644.9656685942
0.0625487286011312,1784575.0653509868
0.0626588016638474,1787510.321413909
0.0627690684328052,1790450.171032073
0.0628795292488882,1793391.851322296
0.06299018445358014,1796338.7083725668
0.06310103438896536,1799290.751292929
0.06321207939773027,1802247.9892094582
0.06332331982316462,1805208.9333418624
0.06343475600916197,1808172.6436061666
0.06354638830022104,1811141.5693987943
0.06365821704144715,1814115.7198980225
0.0637702425785526,1817095.1042982705
0.06388246525785807,1820077.1373027319
0.06399488542629402,1823063.0425301197
0.0641075034314011,1826054.2023444618
0.0642203196213316,1829050.625992762
0.06433333434485079,1832052.3227383054
0.06444654795133734,1835055.439365426
0.0645599607907848,1838063.7057790398
0.06467357321380296,1841077.2661307596
0.06478738557161826,1844096.1297368386
0.06490139821607521,1847119.0304727885
0.0650156114996379,1850144.5013247132
0.0651300257753903,1853175.296391059
0.06524464139703774,1856211.425041359
0.06535945871890832,1859252.8966616439
0.0654744780959534,1862296.8620068214
0.06558969988374891,1865344.990358006
0.06570512443849694,1868398.4827962127
0.06582075211702602,1871457.3487611439
0.06593658327679265,1874521.049460264
0.06605261827588274,1877586.5087547968
0.06616885747301197,1880657.3626352903
0.06628530122752735,1883733.6205951176
0.06640194989940855,1886815.292144367
0.06651880384926843,1889900.3636799296
0.06663586343835441,1892988.6777451793
0.06675312902855005,1896082.4266161493
0.06687060098237532,1899181.6198569904
0.06698827966298823,1902286.2670486863
0.06710616543418615,1905392.6988959764
0.06722425866040638,1908504.0381490458
0.0673425597067275,1911620.8527274847
0.06746106893887094,1914743.1522667597
0.06757978672320133,1917869.6987925924
0.0676987134267281,1920998.7284565344
0.06781784941710683,1924133.2645773832
0.06793719506263977,1927273.3168453826
0.06805675073227732,1930418.8949678277
0.06817651679561948,1933566.7727469532
0.06829649362291634,1936719.1311768973
0.06841668158506956,1939877.037117634
0.06853708105363383,1943040.500331662
0.0686576924008174,1946208.4481820683
0.06877851599948348,1949378.7302527633
0.06889955222315185,1952554.5913762262
0.0690208014459992,1955736.0413704535
0.06914226404286072,1958923.0900707184
0.06926394038923162,1962112.3414962287
0.06938583086126747,1965306.2598814336
0.06950793583578588,1968505.7989145142
0.06963025569026791,1971710.9684866755
0.06975279080285852,1974920.2465711206
0.06987554155236819,1978132.3248691978
0.06999850831827432,1981350.0557729162
0.07012169148072182,1984573.4492297112
0.07024509142052454,1987802.5152045237
0.07036870851916685,1991033.0705593415
0.07049254315880407,1994269.096741657
0.0706165957222641,1997510.8176730215
0.07074086659304883,2000758.2433750436
0.07086535615533475,2004008.7831638416
0.07099006479397434,2007263.2086119459
0.07111499289449776,2010523.361188078
0.07124014084311324,2013789.250970817
0.07136550902670866,2017059.6672380322
0.07149109783285312,2020332.268030067
0.0716169076497974,2023610.6279350405
0.0717429388664755,2026894.7570878195
0.07186919187250625,2030184.665641116
0.07199566705819374,2033477.2747434243
0.07212236481452895,2036773.9436433858
0.07224928553319127,2040076.4140112724
0.07237642960654901,2043384.6960564884
0.07250379742766096,2046698.4924331037
0.07263138939027797,2050013.5725594603
0.07275920588884348,2053334.48655376
0.07288724731849501,2056661.2446824217
0.0730155140750659,2059993.8572299434
0.07314400655508563,2063329.780861449
0.07327272515578151,2066669.2414628754
0.07340167027508028,2070014.578836934
0.07353084231160856,2073365.8033255478
0.07366024166469447,2076722.8366685654
0.07378986873436925,2080080.9474304449
0.07391972392136775,2083444.9677854495
0.07404980762713001,2086814.908133259
0.0741801202538029,2090190.7788918659
0.07431066220424064,2093569.8751018017
0.07444143388200634,2096952.6827501147
0.07457243569137373,2100341.4434530605
0.07470366803732756,2103736.167686805
0.0748351313255653,2107136.2970851534
0.07496682596249873,2110537.9969191877
0.07509875235525446,2113945.683054263
0.07523091091167555,2117359.3660250506
0.07536330204032318,2120779.056384771
0.07549592615047711,2124201.185456484
0.07562878365213734,2127627.9026849903
0.07576187495602582,2131060.6502400762
0.07589520047358687,2134499.4387338897
0.07602876061698886,2137942.5255109244
0.0761625557991259,2141388.380081747
0.07629658643361832,2144840.2986569833
0.07643085293481429,2148298.2919080453
0.07656535571779163,2151762.2962261518
0.07670009519835816,2155227.394979026
0.07683507179305342,2158698.5916021634
0.07697028591915041,2162175.8968265844
0.07710573799465606,2165659.3214021833
0.07724142843831285,2169145.229119029
0.07737735766960063,2172635.81141303
0.07751352610873698,2176132.5364231546
0.07764993417667904,2179635.4149593343
0.0777865822951251,2183142.166261443
0.07792347088651519,2186652.2424477893
0.07806060037403273,2190168.495655549
0.07819797118160626,2193690.936755033
0.07833558373390995,2197218.4921932924
0.0784734384563653,2200748.171095333
0.07861153577514289,2204284.0615155944
0.07874987611716285,2207826.1743850834
0.0788884599100966,2211374.4947388526
0.0790272875823686,2214923.8857851774
0.07916635956315683,2218479.5230390904
0.07930567628239456,2222041.4174926463
0.07944523817077201,2225609.580157252
0.07958504565973697,2229179.676997467
0.07972509918149645,2232755.1713158614
0.07986539916901852,2236336.957778306
0.08000594605603273,2239925.0474576955
0.08014674027703192,2243515.8372730725
0.08028778226727395,2247111.2994998624
0.08042907246278226,2250713.0890101637
0.08057061130034758,2254321.216938707
0.08071239921752972,2257932.6612237482
0.08085443665265811,2261548.2028193376
0.0809967240448335,2265170.107034047
0.08113926183392987,2268798.3850648026
0.08128205046059479,2272430.445542358
0.08142509036625131,2276066.178587082
0.08156838199309974,2279708.3097837865
0.08171192578411811,2283356.850391913
0.08185572218306401,2287009.4890131606
0.08199977163447641,2290665.5262107584
0.08214407458367613,2294327.9972915184
0.08228863147676764,2297996.9135777648
0.08243344276064095,2301670.0925222067
0.08257850888297201,2305346.5472032675
0.08272383029222463,2309029.471698111
0.08286940743765227,2312718.877392305
0.08301524076929849,2316412.559067742
0.08316133073799892,2320109.545193211
0.08330767779538291,2323813.037263646
0.08345428239387426,2327523.0467281826
0.08360114498669281,2331237.1937707355
